GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF,Neighbor_Weighted_Average_TF,TF_Neighbors_Grain_Diff
8,0.3584,0.68,0.55,59,0.491851901773528,2.64053,3,3,3,2,3,2,3,3,2,0.992181985992725,0.0078180140072751,0,2.39338,2.39338,2.94182,2.39338,2.94182,2.38714,2.38714,2.94182,2.93751873717357,0.296988737173571
27,0.0768,0.31,0.38,51.3,0.445893657705753,3.06903,2,2,2,2,2,2,2,2,2,1,0,0,2.401,2.401,2.83582,2.401,2.83582,2.401,2.401,2.83582,2.5825513502285,-0.4864786497715
32,0.0384,0.22,0.43,45,0.490831466744721,2.59551,2,0,2,2,2,2,2,2,2,1,0,0,0,2.08386,2.08386,2.08386,2.08386,2.08386,2.08386,2.08386,2.25477758641601,-0.34073241358399
40,0.6528,0.91,0.56,104.9,0.447508149991937,3.39994,6,3,3,2,2,2,2,2,2,0.772765246449457,0.227234753550543,0,3.16524,2.34107,2.094,3.06059,3.11139,3.06059,3.06059,3.11139,2.8194544352548,-0.580485564745196
63,0.0832,0.33,0.38,63.4,0.490698972613533,2.64581,2,2,2,2,2,2,2,2,2,1,0,0,2.08386,2.08386,2.08386,2.08386,2.08386,2.81592,2.81592,2.81592,2.25477758641601,-0.39103241358399
72,0.064,0.29,0.54,143.1,0.341374309137222,2.97246,3,2,2,2,2,2,3,3,3,0.944344599686938,0.0556554003130616,0,2.42593,3.06842,3.06842,2.42593,3.06842,3.01211,3.01211,3.01211,2.98542642587976,0.0129664258797613
76,0.064,0.29,0.39,149,0.483836464545888,2.47981,2,2,2,2,2,2,2,2,2,1,0,0,2.94182,2.94182,2.94182,2.94182,2.9238,2.94182,2.9238,2.9238,2.93350716285925,0.453697162859248
78,0.032,0.2,0.53,146.3,0.486373070263913,2.62195,1,2,2,2,2,2,2,2,2,1,0,0,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,0.19397
81,0.2944,0.61,0.32,36,0.499469150793839,3.28545,3,3,3,3,3,3,2,2,2,0.596730781855183,0.403269218144817,0,3.18679,3.03338,3.03338,3.18679,3.03338,2.68126,2.68126,2.68126,2.83260495109302,-0.452845048906978
82,0.0576,0.27,0.3,38.7,0.453952769474725,3.57424,4,3,3,3,2,3,2,2,2,0.78254893701922,0.21745106298078,0,2.14062,2.14062,2.79887,3.12438,2.79887,3.12438,3.12438,3.12438,2.97542288190827,-0.598817118091733
88,0.0832,0.33,0.4,105.9,0.484694811680865,2.37281,2,3,3,3,3,2,2,2,2,0.870208307654382,0.129791692345618,0,2.14062,2.14062,2.14062,2.14062,3.12438,3.12438,3.12438,3.12438,2.99669612473808,0.623886124738075
90,0.064,0.29,0.39,59,0.47632219245427,3.29477,3,2,2,2,2,2,2,2,2,1,0,0,2.08386,2.08386,2.08386,2.08386,2.87676,2.89795,2.89795,2.87676,2.21915472944484,-1.07561527055516
113,0.0832,0.33,0.59,21.8,0.443369393241735,3.5589,3,2,3,3,2,3,2,2,2,0.905397319291527,0.094602680708473,0,3.12438,2.91354,2.91354,3.12438,2.91354,3.12438,3.12438,2.85388,3.08806995093346,-0.470830049066539
127,0.0576,0.27,0.45,111.8,0.483104495946775,2.36226,1,2,2,2,2,2,2,2,2,1,0,0,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,0.76212
130,0.2688,0.59,0.38,70,0.486960538412919,2.33848,3,2,2,2,2,2,2,2,2,1,0,0,2.37187,2.37187,2.37187,3.1593,3.12438,3.1593,3.1593,3.12438,3.08780274496882,0.749322744968824
133,0.1344,0.41,0.51,156.8,0.469362602681131,3.67074,4,2,2,2,2,2,2,2,2,1,0,0,2.9238,2.9238,2.9238,2.91292,3.14486,2.91292,2.91292,3.14486,2.93670422411374,-0.73403577588626
141,0.096,0.35,0.35,113.2,0.486013948567722,2.37397,1,2,2,2,2,2,2,2,2,1,0,0,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,0.75041
146,0.0512,0.26,0.42,36.9,0.472149138476052,3.63244,2,2,2,2,2,2,3,3,3,0.944830983313835,0.0551690166861646,0,3.14486,3.14486,3.14486,3.14486,3.14486,3.06542,3.06542,3.06542,3.14047737331445,-0.491962626685549
149,0.224,0.53,0.3,22.6,0.46978390465347,3.63345,3,2,2,3,2,3,3,3,3,0.862417804754679,0.137582195245321,0,3.14486,3.14486,2.52325,3.14486,2.52325,3.06542,3.06542,2.52325,3.08663952228404,-0.546810477715955
150,0.0384,0.22,0.37,143.1,0.491680765838,2.32612,2,2,2,2,2,2,2,2,2,1,0,0,3.12438,3.12438,2.11534,3.12438,2.11534,3.12438,3.12438,2.11534,3.058143388036,0.732023388035998
151,0.288,0.61,0.39,41.6,0.493253858230996,2.31931,5,2,2,3,3,3,3,3,1,0.745735529960636,0.237935559119405,0.0163289109199592,3.14486,3.14486,3.06542,2.81478,3.06542,2.81478,2.81478,2.59231,3.06448222675803,0.74517222675803
153,0.2752,0.59,0.24,101.3,0.493339517031065,2.32657,3,2,2,2,3,2,3,2,2,0.890424857324033,0.109575142675967,0,2.78326,2.78326,2.78326,3.16123,2.78326,3.16123,2.21562,2.21562,2.62058488015219,0.294014880152188
154,0.32,0.64,0.58,119.1,0.492325245741874,2.29374,4,2,2,3,2,2,3,3,2,0.996183813006837,0.00381618699316267,0,2.91292,2.91292,2.94122,2.91292,2.97892,2.84728,2.84728,2.97892,2.91329840674193,0.619558406741931
155,0.064,0.29,0.4,59,0.490487644018563,2.31657,3,2,2,2,2,2,2,3,3,0.990786948176583,0.00921305182341651,0,2.78326,3.14486,3.14486,2.78326,3.14486,2.78326,2.49487,2.49487,2.99360696353167,0.677036963531669
156,0.0512,0.26,0.43,143.1,0.494329317871535,2.3222,2,2,2,2,2,3,3,3,3,0.978927504324579,0.0210724956754207,0,2.91292,2.91292,2.91292,2.91292,2.85312,2.85312,2.85312,2.85312,2.91165986475861,0.58945986475861
157,0.1472,0.43,0.57,135,0.485857149309044,2.33215,3,2,2,2,2,2,2,2,2,1,0,0,3.1593,3.12438,3.12438,3.1593,3.12438,2.41958,2.41958,2.41958,3.12664186518534,0.794491865185344
161,0.1344,0.41,0.63,51.3,0.477711540488196,2.59231,4,3,3,3,3,3,3,3,3,0,0.869186046511628,0.130813953488372,3.06542,3.06542,2.95641,2.81478,2.95641,2.81478,2.81478,2.81478,2.79406119186047,0.201751191860465
180,0.0448,0.24,0.35,158.2,0.479096503508871,2.52946,2,2,2,2,2,2,2,2,2,1,0,0,2.21562,2.08956,2.08956,2.21562,2.08956,2.21562,2.21562,2.08956,2.20214903030685,-0.327310969693151
184,0.0704,0.3,0.56,111.8,0.490281755813993,2.3225,2,2,2,2,2,2,2,2,2,1,0,0,2.91292,2.91292,2.91292,2.61091,2.91292,2.61091,2.61091,2.91292,2.80447625482626,0.481976254826255
187,0.1728,0.47,0.49,125.5,0.489119748078522,2.36402,6,2,2,2,3,2,3,2,2,0.888960435000358,0.107605351649138,0.0034342133505044,3.1593,3.1593,3.1593,3.05084,2.57117,2.504,2.57117,2.57117,2.81582302604279,0.451803026042785
188,0.1536,0.44,0.29,163.3,0.488288442435417,2.35402,3,2,2,3,2,3,3,3,3,0.868596010950332,0.131403989049668,0,3.1593,3.1593,2.65721,3.1593,2.65721,2.65405,2.65405,2.65721,3.09303863746578,0.73901863746578
193,0.032,0.2,0.36,63.4,0.490564366288331,2.30192,2,2,2,2,2,2,2,2,2,1,0,0,2.91292,2.91292,2.91292,2.61091,2.91292,2.61091,2.61091,2.91292,2.80447625482626,0.502556254826255
199,0.0384,0.22,0.66,33.7,0.439868282037894,3.25663,3,3,1,1,3,2,3,2,2,0.884662418742357,0.0875329857758898,0.0278045954817532,2.504,2.36402,2.36402,2.504,2.57117,2.504,2.57117,2.57117,2.55953068739139,-0.697099312608612
222,0.5312,0.82,0.41,107.4,0.481582749374313,3.58672,4,2,2,2,2,2,2,2,2,1,0,0,3.00513,3.00513,2.85234,3.00513,3.03226,3.00513,2.46601,2.46601,2.78773334810669,-0.798986651893309
224,0.096,0.35,0.45,116.6,0.48864516964374,2.34228,3,3,3,3,3,3,3,3,3,0,1,0,3.14497,3.14497,3.14497,3.14497,2.93403,2.93403,2.93403,2.93403,3.09506060911184,0.752780609111843
234,0.2304,0.54,0.59,144.5,0.485862814259033,2.42895,4,3,3,3,2,3,2,2,2,0.762599340283094,0.237400659716906,0,3.14497,3.14497,2.93403,3.04594,2.93403,2.3381,2.3381,2.3381,2.54486319489485,0.115913194894849
239,0.4608,0.77,0.74,14,0.485453488717303,3.6283,4,3,2,2,2,3,2,2,3,0.877935014625662,0.122064985374338,0,3.05485,2.85668,2.85668,3.18053,3.08788,3.18053,3.18053,3.08788,3.08512310261681,-0.543176897383192
249,0.5696,0.85,0.55,111,0.481484841221854,3.03811,2,3,3,3,3,3,3,3,3,0,1,0,2.94368,2.94368,2.94368,2.94368,2.60785,2.94368,2.60785,2.60785,2.79965056350899,-0.238459436491014
253,0.2688,0.59,0.31,167.9,0.483349558635969,2.36938,3,2,2,2,2,2,2,2,2,1,0,0,2.30011,3.17261,3.17261,2.30011,2.3381,2.30011,2.3381,2.3381,2.42746626683106,0.0580862668310562
255,0.1664,0.46,0.46,69.4,0.483766341895129,2.35641,3,2,3,3,2,3,2,2,2,0.988507319742783,0.0114926802572171,0,3.04578,3.04794,3.04794,3.04578,3.04794,2.3381,2.3381,2.3381,2.40435182104255,0.0479418210425502
257,0.1664,0.46,0.55,119.7,0.450950339723663,2.98265,2,2,2,2,2,2,2,2,2,1,0,0,2.48534,2.48534,2.48534,2.48534,2.48534,2.48534,2.48534,2.48534,2.8091798185118,-0.173470181488203
259,0.1344,0.41,0.37,159.4,0.481878311931265,2.34666,1,2,2,2,2,2,2,2,2,1,0,0,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,-0.00856000000000012
261,0.0768,0.31,0.45,149,0.47270181452949,3.57792,3,3,2,2,3,2,3,3,2,0.753822702805697,0.246177297194303,0,2.60785,3.18053,3.18053,2.60785,3.18053,3.06042,3.06042,3.18053,3.07507699757062,-0.502843002429381
267,0.0832,0.33,0.46,161.6,0.484885600323768,2.35085,1,2,2,2,2,2,2,2,2,1,0,0,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,2.3381,-0.01275
275,0.4096,0.72,0.47,108.4,0.433651582613182,3.31611,5,2,2,2,2,2,2,3,3,0.890822784810127,0.109177215189873,0,2.37547,2.37547,3.05172,2.7063,3.05172,2.7063,3.16524,3.16046,2.80393172468354,-0.512178275316455
291,0.1792,0.48,0.38,36.9,0.427634994173231,3.32345,6,2,2,3,3,3,3,3,3,0.149879797728592,0.850120202271408,0,2.7063,2.7063,3.16046,3.07689,2.22759,3.07689,3.07689,2.22759,2.54063628036144,-0.782813719638564
293,0.0512,0.26,0.48,53.1,0.479945521479591,3.53769,3,3,2,2,3,2,2,2,2,0.991313494621832,0.00868650537816837,0,3.17616,2.86091,2.86091,3.17616,2.86091,2.35656,2.35656,2.86091,2.70483575752435,-0.832854242475654
298,0.0384,0.22,0.45,135,0.454417993621643,2.44736,3,2,2,2,1,2,1,1,2,0.981584853542038,0,0.0184151464579617,3.18489,3.18489,3.18489,2.37562,3.18641,2.37562,2.37562,3.18641,3.17007394659608,0.722713946596075
300,0.096,0.35,0.45,26.6,0.44603020985338,2.41238,4,3,2,2,3,2,3,2,2,0.723163616017904,0.276836383982096,0,2.22759,3.17796,3.17796,2.22759,3.17796,3.13257,2.35656,2.35656,2.77816951043082,0.365789510430821
301,0.064,0.29,0.52,53.1,0.484524388555554,2.37562,6,3,2,2,3,2,2,3,3,0.787632400123061,0.20392915219971,0.00843844767722938,2.266,3.18489,3.18489,2.266,3.18489,3.18276,2.22495,2.22495,2.98641374456116,0.610793744561156
306,0.032,0.2,0.41,63.4,0.486346223638527,3.53199,1,2,2,2,2,2,2,2,2,1,0,0,2.86091,2.86091,2.86091,2.86091,2.86091,2.86091,2.86091,2.86091,2.86091,-0.67108
312,0.064,0.29,0.62,63.4,0.459353111235642,2.88323,1,2,2,2,2,2,2,2,2,1,0,0,3.0372,3.0372,3.0372,3.0372,3.0372,3.0372,3.0372,3.0372,3.0372,0.15397
315,0.0512,0.26,0.43,36.9,0.489779715869821,3.46432,3,3,3,3,3,3,3,3,3,0,1,0,2.10415,2.22495,2.22495,2.10415,2.22495,2.10415,2.10415,2.22495,2.23673311258278,-1.22758688741722
